,classification,keyed_name,id,created_on,created_by_id,owned_by_id,managed_by_id,modified_on,modified_by_id,current_state,state,locked_by_id,is_current,major_rev,minor_rev,is_released,not_lockable,css,generation,new_version,config_id,permission_id,source_id,behavior,team_id,external_id,external_owner,external_type,quantity,reference_designator,related_id,sort_order
30,,1FB3B8F1A5EA41A8B48289F40F870EA7,1FB3B8F1A5EA41A8B48289F40F870EA7,2021-03-15 21:03:10.907,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:03:10.943,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,1FB3B8F1A5EA41A8B48289F40F870EA7,5C07EB829D4241F6BB884952960FAF58,9B902DB0F7D0400DB778A54CF32683E2,float,,,SofTech.Mechanical.SolidWorks,,1,,25B24562BD344C45A49CB6A0A6CD6DFC,10
31,,1FC1A69679874A5E88484D0FBA7B1D67,1FC1A69679874A5E88484D0FBA7B1D67,2021-03-15 21:02:57.307,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:02:57.347,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,1FC1A69679874A5E88484D0FBA7B1D67,5C07EB829D4241F6BB884952960FAF58,5F750EA8888A402B831E8EEE6339812E,float,,,SofTech.Mechanical.SolidWorks,,6,,20D920CAC7854A5EB3BC6FA8B5B5B4EE,5
32,,20F47C88C38345FE846F73064ABAD61F,20F47C88C38345FE846F73064ABAD61F,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,20F47C88C38345FE846F73064ABAD61F,95475AE006E7415794BDC93808DC04D2,01B2F67D451D491D84FD5209F44A8F35,fixed,,,,,2,"R4,  R10",5782171FADC14CA5B8DC988ACA435617,40
33,,2108077B42CC428D9316C8CE01F23A74,2108077B42CC428D9316C8CE01F23A74,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,2108077B42CC428D9316C8CE01F23A74,95475AE006E7415794BDC93808DC04D2,01B2F67D451D491D84FD5209F44A8F35,fixed,,,,,1,R9,155C8C64CADE4900B47488484A45B032,60
34,,21A0BC447CA64429B0DB6863A225BA41,21A0BC447CA64429B0DB6863A225BA41,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,21A0BC447CA64429B0DB6863A225BA41,95475AE006E7415794BDC93808DC04D2,B9F8E908144948E48A1747AD88716D02,hard_fixed,,,SofTech.Mechanical.SolidWorks,,1,,052B70BA995D47CF834EF103CCE0D85E,40
35,,22536418C7894E4E9C8DDE8725C5D2A2,22536418C7894E4E9C8DDE8725C5D2A2,2021-03-15 21:03:08.737,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:03:08.767,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,22536418C7894E4E9C8DDE8725C5D2A2,5C07EB829D4241F6BB884952960FAF58,25B24562BD344C45A49CB6A0A6CD6DFC,float,,,SofTech.Mechanical.SolidWorks,,2,,D00163AB045542CD8F0360E72918000E,35
36,,2314DE47DB894788946EF23874122584,2314DE47DB894788946EF23874122584,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,2314DE47DB894788946EF23874122584,95475AE006E7415794BDC93808DC04D2,DFB575A241DC456F8D4FEE188DF5BE3E,hard_fixed,,,,,10,"R7, R9, R10, R11, R12, R13, R14, R15, R16, R17",26ABA42FB5614F5D85FE71CC4049E754,25
37,,237B18E368E447C38A959C9A35CD4D5E,237B18E368E447C38A959C9A35CD4D5E,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,237B18E368E447C38A959C9A35CD4D5E,95475AE006E7415794BDC93808DC04D2,7B2E1053EAF4424289FE4E6BA612A525,fixed,,,SofTech.Mechanical.SolidWorks,,4,,F7AB76D5EB174CF1A5A5FF3C73401B59,25
38,,2558E30AAEE34760A674054D08569673,2558E30AAEE34760A674054D08569673,2021-03-15 21:03:08.737,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,2021-03-15 21:03:08.767,AD30A6D8D3B642F5A2AFED1A4B02BEFA,,,,1,A,,0,0,,1,1,2558E30AAEE34760A674054D08569673,5C07EB829D4241F6BB884952960FAF58,25B24562BD344C45A49CB6A0A6CD6DFC,float,,,SofTech.Mechanical.SolidWorks,,1,,D2A76DA5A5EA43BF95F3B83355B5BD04,60
39,,26399ADCCA424DC6B8AB795B66C48A9E,26399ADCCA424DC6B8AB795B66C48A9E,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,26399ADCCA424DC6B8AB795B66C48A9E,95475AE006E7415794BDC93808DC04D2,526C66B626B64BCB869ACBB083A900A3,fixed,,,SofTech.Mechanical.SolidWorks,,1,,DA6A5821D7D043C48309566653A9C432,60
40,,26717BED797E47E88E30BD5D359C9A57,26717BED797E47E88E30BD5D359C9A57,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,2017-10-17 12:36:00.000,0F6BD6E53E9749CA9B1A2A648D741A5A,,,,1,A,,0,0,,1,1,26717BED797E47E88E30BD5D359C9A57,95475AE006E7415794BDC93808DC04D2,83890B1872744031BBB8EC2DBC37D5C6,fixed,,,,,5,"U8, U9, U10, U11, U12",BE6FF3B5CA204384A1FDA14F4A6AD07E,190
41,,26BC6F30F4CC4510835EDD2846A6023F,26BC6F30F4CC4510835EDD2846A6023F,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,2017-10-24 19:09:00.000,E8DA8A7D08BF43B99B55465B5C4AC3BE,,,,1,A,,0,0,,1,1,26BC6F30F4CC4510835EDD2846A6023F,95475AE006E7415794BDC93808DC04D2,4C40CCBC9E864E9CA7BE8A93423BD362,fixed,,,SofTech.Mechanical.SolidWorks,,2,,FB0CB50C7C364AD8A692F6B2FF0EA76B,75
